year,quarter,symbol,timeframe,file_exists,row_count,first_bar,last_bar,expected_bars,pct_complete,note
2018,Q2,CHFJPY,M1,N,0,,,93600,0.0,missing
2018,Q2,CHFJPY,M5,N,0,,,18720,0.0,missing
2018,Q2,CHFJPY,M15,N,0,,,6240,0.0,missing
2018,Q2,EURAUD,M1,N,0,,,93600,0.0,missing
2018,Q2,EURAUD,M5,N,0,,,18720,0.0,missing
2018,Q2,EURAUD,M15,N,0,,,6240,0.0,missing
2018,Q2,EURCAD,M1,N,0,,,93600,0.0,missing
2018,Q2,EURCAD,M5,N,0,,,18720,0.0,missing
2018,Q2,EURCAD,M15,N,0,,,6240,0.0,missing
2018,Q2,EURCHF,M1,N,0,,,93600,0.0,missing
2018,Q2,EURCHF,M5,N,0,,,18720,0.0,missing
2018,Q2,EURCHF,M15,N,0,,,6240,0.0,missing
2018,Q2,EURGBP,M1,N,0,,,93600,0.0,missing
2018,Q2,EURGBP,M5,N,0,,,18720,0.0,missing
2018,Q2,EURGBP,M15,N,0,,,6240,0.0,missing
2018,Q2,EURJPY,M1,N,0,,,93600,0.0,missing
2018,Q2,EURJPY,M5,N,0,,,18720,0.0,missing
2018,Q2,EURJPY,M15,N,0,,,6240,0.0,missing
2018,Q2,EURNZD,M1,N,0,,,93600,0.0,missing
2018,Q2,EURNZD,M5,N,0,,,18720,0.0,missing
2018,Q2,EURNZD,M15,N,0,,,6240,0.0,missing
2018,Q2,GBPAUD,M1,N,0,,,93600,0.0,missing
2018,Q2,GBPAUD,M5,N,0,,,18720,0.0,missing
2018,Q2,GBPAUD,M15,N,0,,,6240,0.0,missing
2018,Q2,GBPCAD,M1,N,0,,,93600,0.0,missing
2018,Q2,GBPCAD,M5,N,0,,,18720,0.0,missing
2018,Q2,GBPCAD,M15,N,0,,,6240,0.0,missing
2018,Q2,GBPCHF,M1,N,0,,,93600,0.0,missing
2018,Q2,GBPCHF,M5,N,0,,,18720,0.0,missing
2018,Q2,GBPCHF,M15,N,0,,,6240,0.0,missing
2018,Q2,GBPJPY,M1,N,0,,,93600,0.0,missing
2018,Q2,GBPJPY,M5,N,0,,,18720,0.0,missing
2018,Q2,GBPJPY,M15,N,0,,,6240,0.0,missing
2018,Q2,GBPNZD,M1,N,0,,,93600,0.0,missing
2018,Q2,GBPNZD,M5,N,0,,,18720,0.0,missing
2018,Q2,GBPNZD,M15,N,0,,,6240,0.0,missing
2018,Q2,NZDCAD,M1,N,0,,,93600,0.0,missing
2018,Q2,NZDCAD,M5,N,0,,,18720,0.0,missing
2018,Q2,NZDCAD,M15,N,0,,,6240,0.0,missing
2018,Q2,NZDCHF,M1,N,0,,,93600,0.0,missing
2018,Q2,NZDCHF,M5,N,0,,,18720,0.0,missing
2018,Q2,NZDCHF,M15,N,0,,,6240,0.0,missing
2018,Q2,NZDJPY,M1,N,0,,,93600,0.0,missing
2018,Q2,NZDJPY,M5,N,0,,,18720,0.0,missing
2018,Q2,NZDJPY,M15,N,0,,,6240,0.0,missing
2018,Q2,AUS200,M1,N,0,,,93600,0.0,missing
2018,Q2,AUS200,M5,N,0,,,18720,0.0,missing
2018,Q2,AUS200,M15,N,0,,,6240,0.0,missing
2018,Q2,US30,M1,N,0,,,93600,0.0,missing
2018,Q2,US30,M5,N,0,,,18720,0.0,missing
2018,Q2,US30,M15,N,0,,,6240,0.0,missing
2018,Q2,GER40,M1,N,0,,,93600,0.0,missing
2018,Q2,GER40,M5,N,0,,,18720,0.0,missing
2018,Q2,GER40,M15,N,0,,,6240,0.0,missing
2018,Q2,UK100,M1,N,0,,,93600,0.0,missing
2018,Q2,UK100,M5,N,0,,,18720,0.0,missing
2018,Q2,UK100,M15,N,0,,,6240,0.0,missing
2018,Q2,NAS100,M1,N,0,,,93600,0.0,missing
2018,Q2,NAS100,M5,N,0,,,18720,0.0,missing
2018,Q2,NAS100,M15,N,0,,,6240,0.0,missing
2018,Q2,EUSTX50,M1,N,0,,,93600,0.0,missing
2018,Q2,EUSTX50,M5,N,0,,,18720,0.0,missing
2018,Q2,EUSTX50,M15,N,0,,,6240,0.0,missing
2018,Q2,JPN225,M1,N,0,,,93600,0.0,missing
2018,Q2,JPN225,M5,N,0,,,18720,0.0,missing
2018,Q2,JPN225,M15,N,0,,,6240,0.0,missing
2018,Q2,SPX500,M1,N,0,,,93600,0.0,missing
2018,Q2,SPX500,M5,N,0,,,18720,0.0,missing
2018,Q2,SPX500,M15,N,0,,,6240,0.0,missing
2018,Q2,XTIUSD,M1,N,0,,,93600,0.0,missing
2018,Q2,XTIUSD,M5,N,0,,,18720,0.0,missing
2018,Q2,XTIUSD,M15,N,0,,,6240,0.0,missing
2018,Q2,XBRUSD,M1,N,0,,,93600,0.0,missing
2018,Q2,XBRUSD,M5,N,0,,,18720,0.0,missing
2018,Q2,XBRUSD,M15,N,0,,,6240,0.0,missing
2018,Q2,XAUUSD,M1,N,0,,,93600,0.0,missing
2018,Q2,XAUUSD,M5,N,0,,,18720,0.0,missing
2018,Q2,XAUUSD,M15,N,0,,,6240,0.0,missing
2018,Q2,XAGUSD,M1,N,0,,,93600,0.0,missing
2018,Q2,XAGUSD,M5,N,0,,,18720,0.0,missing
2018,Q2,XAGUSD,M15,N,0,,,6240,0.0,missing
2018,Q2,USDMXN,M1,N,0,,,93600,0.0,missing
2018,Q2,USDMXN,M5,N,0,,,18720,0.0,missing
2018,Q2,USDMXN,M15,N,0,,,6240,0.0,missing
2018,Q2,USDZAR,M1,N,0,,,93600,0.0,missing
2018,Q2,USDZAR,M5,N,0,,,18720,0.0,missing
2018,Q2,USDZAR,M15,N,0,,,6240,0.0,missing
2018,Q3,BTCUSD,M1,N,0,,,94628,0.0,missing
2018,Q3,BTCUSD,M5,N,0,,,18925,0.0,missing
2018,Q3,BTCUSD,M15,N,0,,,6308,0.0,missing
2018,Q3,EURUSD,M1,N,0,,,94628,0.0,missing
2018,Q3,EURUSD,M5,N,0,,,18925,0.0,missing
2018,Q3,EURUSD,M15,N,0,,,6308,0.0,missing
2018,Q3,GBPUSD,M1,N,0,,,94628,0.0,missing
2018,Q3,GBPUSD,M5,N,0,,,18925,0.0,missing
2018,Q3,GBPUSD,M15,N,0,,,6308,0.0,missing
2018,Q3,USDJPY,M1,N,0,,,94628,0.0,missing
2018,Q3,USDJPY,M5,N,0,,,18925,0.0,missing
2018,Q3,USDJPY,M15,N,0,,,6308,0.0,missing
2018,Q3,USDCHF,M1,N,0,,,94628,0.0,missing
2018,Q3,USDCHF,M5,N,0,,,18925,0.0,missing
2018,Q3,USDCHF,M15,N,0,,,6308,0.0,missing
2018,Q3,AUDUSD,M1,N,0,,,94628,0.0,missing
2018,Q3,AUDUSD,M5,N,0,,,18925,0.0,missing
2018,Q3,AUDUSD,M15,N,0,,,6308,0.0,missing
2018,Q3,NZDUSD,M1,N,0,,,94628,0.0,missing
2018,Q3,NZDUSD,M5,N,0,,,18925,0.0,missing
2018,Q3,NZDUSD,M15,N,0,,,6308,0.0,missing
2018,Q3,USDCAD,M1,N,0,,,94628,0.0,missing
2018,Q3,USDCAD,M5,N,0,,,18925,0.0,missing
2018,Q3,USDCAD,M15,N,0,,,6308,0.0,missing
2018,Q3,AUDCAD,M1,N,0,,,94628,0.0,missing
2018,Q3,AUDCAD,M5,N,0,,,18925,0.0,missing
2018,Q3,AUDCAD,M15,N,0,,,6308,0.0,missing
2018,Q3,AUDCHF,M1,N,0,,,94628,0.0,missing
2018,Q3,AUDCHF,M5,N,0,,,18925,0.0,missing
2018,Q3,AUDCHF,M15,N,0,,,6308,0.0,missing
2018,Q3,AUDJPY,M1,N,0,,,94628,0.0,missing
2018,Q3,AUDJPY,M5,N,0,,,18925,0.0,missing
2018,Q3,AUDJPY,M15,N,0,,,6308,0.0,missing
2018,Q3,AUDNZD,M1,N,0,,,94628,0.0,missing
2018,Q3,AUDNZD,M5,N,0,,,18925,0.0,missing
2018,Q3,AUDNZD,M15,N,0,,,6308,0.0,missing
2018,Q3,CADCHF,M1,N,0,,,94628,0.0,missing
2018,Q3,CADCHF,M5,N,0,,,18925,0.0,missing
2018,Q3,CADCHF,M15,N,0,,,6308,0.0,missing
2018,Q3,CADJPY,M1,N,0,,,94628,0.0,missing
2018,Q3,CADJPY,M5,N,0,,,18925,0.0,missing
2018,Q3,CADJPY,M15,N,0,,,6308,0.0,missing
2018,Q3,CHFJPY,M1,N,0,,,94628,0.0,missing
2018,Q3,CHFJPY,M5,N,0,,,18925,0.0,missing
2018,Q3,CHFJPY,M15,N,0,,,6308,0.0,missing
2018,Q3,EURAUD,M1,N,0,,,94628,0.0,missing
2018,Q3,EURAUD,M5,N,0,,,18925,0.0,missing
2018,Q3,EURAUD,M15,N,0,,,6308,0.0,missing
2018,Q3,EURCAD,M1,N,0,,,94628,0.0,missing
2018,Q3,EURCAD,M5,N,0,,,18925,0.0,missing
2018,Q3,EURCAD,M15,N,0,,,6308,0.0,missing
2018,Q3,EURCHF,M1,N,0,,,94628,0.0,missing
2018,Q3,EURCHF,M5,N,0,,,18925,0.0,missing
2018,Q3,EURCHF,M15,N,0,,,6308,0.0,missing
2018,Q3,EURGBP,M1,N,0,,,94628,0.0,missing
2018,Q3,EURGBP,M5,N,0,,,18925,0.0,missing
2018,Q3,EURGBP,M15,N,0,,,6308,0.0,missing
2018,Q3,EURJPY,M1,N,0,,,94628,0.0,missing
2018,Q3,EURJPY,M5,N,0,,,18925,0.0,missing
2018,Q3,EURJPY,M15,N,0,,,6308,0.0,missing
2018,Q3,EURNZD,M1,N,0,,,94628,0.0,missing
2018,Q3,EURNZD,M5,N,0,,,18925,0.0,missing
2018,Q3,EURNZD,M15,N,0,,,6308,0.0,missing
2018,Q3,GBPAUD,M1,N,0,,,94628,0.0,missing
2018,Q3,GBPAUD,M5,N,0,,,18925,0.0,missing
2018,Q3,GBPAUD,M15,N,0,,,6308,0.0,missing
2018,Q3,GBPCAD,M1,N,0,,,94628,0.0,missing
2018,Q3,GBPCAD,M5,N,0,,,18925,0.0,missing
2018,Q3,GBPCAD,M15,N,0,,,6308,0.0,missing
2018,Q3,GBPCHF,M1,N,0,,,94628,0.0,missing
2018,Q3,GBPCHF,M5,N,0,,,18925,0.0,missing
2018,Q3,GBPCHF,M15,N,0,,,6308,0.0,missing
2018,Q3,GBPJPY,M1,N,0,,,94628,0.0,missing
2018,Q3,GBPJPY,M5,N,0,,,18925,0.0,missing
2018,Q3,GBPJPY,M15,N,0,,,6308,0.0,missing
2018,Q3,GBPNZD,M1,N,0,,,94628,0.0,missing
2018,Q3,GBPNZD,M5,N,0,,,18925,0.0,missing
2018,Q3,GBPNZD,M15,N,0,,,6308,0.0,missing
2018,Q3,NZDCAD,M1,N,0,,,94628,0.0,missing
2018,Q3,NZDCAD,M5,N,0,,,18925,0.0,missing
2018,Q3,NZDCAD,M15,N,0,,,6308,0.0,missing
2018,Q3,NZDCHF,M1,N,0,,,94628,0.0,missing
2018,Q3,NZDCHF,M5,N,0,,,18925,0.0,missing
2018,Q3,NZDCHF,M15,N,0,,,6308,0.0,missing
2018,Q3,NZDJPY,M1,N,0,,,94628,0.0,missing
2018,Q3,NZDJPY,M5,N,0,,,18925,0.0,missing
2018,Q3,NZDJPY,M15,N,0,,,6308,0.0,missing
2018,Q3,AUS200,M1,N,0,,,94628,0.0,missing
2018,Q3,AUS200,M5,N,0,,,18925,0.0,missing
2018,Q3,AUS200,M15,N,0,,,6308,0.0,missing
2018,Q3,US30,M1,N,0,,,94628,0.0,missing
2018,Q3,US30,M5,N,0,,,18925,0.0,missing
2018,Q3,US30,M15,N,0,,,6308,0.0,missing
2018,Q3,GER40,M1,N,0,,,94628,0.0,missing
